Pos.,Giocatore,Nazione,Ruolo,Squadra,Competizione,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Tiri totali,Tiri in porta,Falli commessi,Falli subiti,Fuorigioco
664,Gianluigi Donnarumma,ITA,Por,Paris S-G,Ligue 1,25-336,1999,15,15,1.281,14.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0
665,Patrick Dorgu,DEN,Att.Dif,Lecce,Serie A,20-092,2004,20,20,1.750,19.4,3,1,4,3,0,0,2,1,3.3,3.3,1.4,4.7,62,50,34,10,23,52,4
666,Alfie Dorrington,ENG,Dif,Tottenham,Premier League,19-281,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
667,Niklas Dorsch,GER,Cen,Augsburg,Bundesliga,27-011,1998,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0,0,2,0
668,Niklas Dorsch,GER,Cen,Heidenheim,Bundesliga,27-011,1998,13,10,740,8.2,2,1,3,2,0,0,1,1,0.8,0.8,0.8,1.7,9,34,0,0,0,2,0
669,Alberto Dossena,ITA,Dif,Como,Serie A,26-105,1998,18,17,1.515,16.8,0,2,2,0,0,0,1,1,0.7,0.7,0.5,1.2,4,32,11,3,18,13,0
670,Abdoulaye Doucouré,MLI,Cen,Everton,Premier League,32-025,1993,20,19,1.592,17.7,0,0,0,0,0,0,2,0,0.9,0.9,0.9,1.8,28,51,11,2,34,2,8
671,Cheick Doucouré,MLI,Cen,Crystal Palace,Premier League,25-018,2000,13,4,452,5.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,19,7,0,7,7,0
672,Désiré Doué,FRA,Att.Cen,Paris S-G,Ligue 1,19-237,2005,16,7,793,8.8,1,2,3,1,0,0,0,0,2.1,2.1,3.1,5.1,49,52,30,11,13,23,1
673,Guela Doué,CIV,Dif,Strasbourg,Ligue 1,22-101,2002,18,18,1.620,18.0,1,0,1,1,0,0,5,0,0.7,0.7,0.3,1.0,25,87,14,6,23,13,0
674,Douglas,BRA,Cen,Nantes,Ligue 1,28-013,1997,16,16,1.339,14.9,2,2,4,2,0,0,4,0,2.0,2.0,1.1,3.1,6,80,19,9,24,21,0
675,Ismaël Doukouré,FRA,Cen.Dif,Strasbourg,Ligue 1,21-186,2003,17,17,1.419,15.8,0,1,1,0,0,0,5,0,0.1,0.1,0.7,0.8,11,57,1,0,14,9,0
676,Issa Doumbia,CIV,Cen,Venezia,Serie A,21-102,2003,9,4,365,4.1,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,5,11,5,3,4,3,0
677,Kamory Doumbia,MLI,Cen,Brest,Ligue 1,21-343,2003,15,7,734,8.2,1,1,2,1,0,0,0,0,0.7,0.7,0.7,1.4,5,38,9,2,12,8,1
678,Amidou Doumbouya,FRA,Dif,Nice,Ligue 1,17-174,2007,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
679,Anastasios Douvikas,GRE,Att,Celta Vigo,La Liga,25-177,1999,18,6,651,7.2,3,1,4,3,0,0,2,0,4.4,4.4,0.2,4.7,6,6,17,9,10,26,9
680,Artem Dovbyk,UKR,Att,Roma,Serie A,27-219,1997,19,18,1.571,17.5,7,2,9,6,1,1,0,0,7.5,6.7,1.8,8.5,13,12,36,13,21,9,17
681,Flynn Downes,ENG,Cen,Southampton,Premier League,26-006,1999,18,17,1.432,15.9,1,0,1,1,0,0,9,0,0.6,0.6,0.9,1.5,18,50,9,3,37,29,0
682,Tommy Doyle,ENG,Cen,Wolves,Premier League,23-101,2001,18,3,444,4.9,0,1,1,0,0,0,1,0,0.5,0.5,0.5,1.0,6,38,8,2,5,5,0
683,Radu Drăgușin,ROU,Dif,Tottenham,Premier League,22-358,2002,15,13,1.162,12.9,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,7,36,4,1,6,10,0
684,Patrick Drewes,GER,Por,Bochum,Bundesliga,31-357,1993,19,19,1.710,19.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0,1,2,0
685,Tim Drexler,GER,Dif,Hoffenheim,Bundesliga,19-326,2005,8,5,357,4.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,16,2,2,8,2,0
686,Domingos Duarte,POR,Dif,Getafe,La Liga,29-322,1995,6,5,452,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,13,0,0,9,0,0
687,Martin Dúbravka,SVK,Por,Newcastle Utd,Premier League,36-011,1989,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
688,Marvin Ducksch,GER,Att,Werder Bremen,Bundesliga,30-325,1994,19,19,1.558,17.3,6,7,13,5,1,1,3,0,6.7,5.9,5.8,11.7,13,62,49,19,3,14,9
689,Ondrej Duda,SVK,Cen,Hellas Verona,Serie A,30-052,1994,15,14,1.251,13.9,0,2,2,0,0,0,8,1,0.5,0.5,2.4,2.8,9,61,13,2,25,32,0
690,Denzel Dumfries,NED,Dif.Att,Inter,Serie A,28-283,1996,17,11,1.095,12.2,5,1,6,5,0,0,3,0,3.9,3.9,1.6,5.5,26,29,23,13,31,11,4
691,Alfred Duncan,GHA,Cen,Venezia,Serie A,31-322,1993,11,10,795,8.8,0,0,0,0,0,0,1,0,0.7,0.7,0.8,1.5,7,44,11,3,19,11,0
692,Lewis Dunk,ENG,Dif,Brighton,Premier League,33-066,1991,18,16,1.472,16.4,0,0,0,0,0,0,4,0,0.7,0.7,0.5,1.2,15,103,10,2,5,8,2
693,Jhon Durán,COL,Att,Aston Villa,Premier League,21-044,2003,19,4,613,6.8,7,0,7,7,0,0,3,1,4.8,4.8,0.2,5.0,7,13,29,15,14,15,5
694,Pablo Durán,ESP,Att.Cen,Celta Vigo,La Liga,23-246,2001,10,5,454,5.0,2,1,3,2,0,0,2,0,1.3,1.3,0.9,2.2,10,9,9,2,12,7,3
695,Julien Duranville,BEL,Att.Cen,Dortmund,Bundesliga,18-266,2006,6,1,169,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,11,4,2,0,6,5,1
696,Hugo Duro,ESP,Att,Valencia,La Liga,25-077,1999,17,16,1.384,15.4,6,2,8,6,0,0,3,0,5.0,5.0,1.1,6.1,10,17,29,10,24,35,4
697,Jean-Kevin Duverne,HAI,Dif,Nantes,Ligue 1,27-198,1997,9,7,537,6.0,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,6,22,4,0,14,6,0
