Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Tiri totali,Tiri in porta,Falli commessi,Falli subiti,Fuorigioco
181,Brahim Díaz,MAR,Att.Cen,Real Madrid,25-179,1999,4,2,238,2.6,0,1,1,0,0,0,0,0,1.0,1.0,0.9,1.8,10,11,6,3,0,6,1
182,Luis Díaz,COL,Att,Liverpool,28-016,1997,7,5,464,5.2,3,0,3,3,0,0,1,0,2.2,2.2,1.1,3.3,22,16,10,6,14,8,1
183,Eric Dier,ENG,Dif,Bayern Munich,31-014,1994,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0
184,Lucas Digne,FRA,Dif,Aston Villa,31-193,1993,5,5,415,4.6,0,0,0,0,0,0,2,0,0.4,0.4,0.5,0.8,7,15,4,2,1,4,1
185,Federico Dimarco,ITA,Dif.Att,Inter,27-080,1997,5,2,244,2.7,0,1,1,0,0,0,0,0,0.2,0.2,1.0,1.3,8,9,5,0,1,1,2
186,Ousmane Diomande,CIV,Dif,Sporting CP,21-056,2003,6,6,481,5.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,14,1,0,8,3,0
187,Nasser Djiga,BFA,Dif,Red Star,22-075,2002,7,7,630,7.0,1,1,2,1,0,0,1,0,0.2,0.2,0.7,0.9,12,33,3,1,2,1,0
188,Berat Djimsiti,ALB,Dif,Atalanta,31-345,1993,6,5,408,4.5,1,0,1,1,0,0,0,0,1.1,1.1,0.0,1.1,4,30,2,2,4,1,0
189,Jeremy Doku,BEL,Att,Manchester City,22-247,2002,4,2,193,2.1,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.9,26,6,4,1,2,4,1
190,Sergi Dominguez,ESP,Dif.Att,Barcelona,19-303,2005,2,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0,1,0,0
191,Gianluigi Donnarumma,ITA,Por,Paris S-G,25-339,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0
192,Nene Dorgeles,MLI,Att,RB Salzburg,22-037,2002,7,4,427,4.7,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,16,17,8,3,3,4,0
193,Désiré Doué,FRA,Att,Paris S-G,19-240,2005,6,2,187,2.1,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,17,7,5,2,2,1,1
194,Kamory Doumbia,MLI,Cen.Att,Brest,21-346,2003,7,4,337,3.7,0,0,0,0,0,0,0,0,1.6,1.6,0.4,2.0,7,13,7,3,9,1,1
195,Couhaib Driouech,MAR,Att,PSV Eindhoven,22-287,2002,2,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,1,0,2,0,0
196,Vanja Drkušič,SVN,Dif,Red Star,25-091,1999,1,1,88,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
197,Joel Drommel,NED,Por,PSV Eindhoven,28-074,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
198,Bruno Duarte,BRA,Att.Cen,Red Star,28-311,1996,6,2,146,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,7,4,5,1,1,0,1
199,Denzel Dumfries,NED,Dif.Att,Inter,28-286,1996,6,5,439,4.9,0,0,0,0,0,0,2,0,0.9,0.6,0.3,0.9,8,6,6,1,14,8,5
200,Jhon Durán,COL,Att,Aston Villa,21-047,2003,7,1,241,2.7,3,0,3,3,0,0,2,0,0.9,0.9,0.2,1.0,3,5,14,4,7,4,2
201,Julien Duranville,BEL,Att,Dortmund,18-269,2006,4,2,208,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,9,3,3,2,7,4,1
